product_id,product_name,category,price,stock,unit,image_url,description,is_active
PRD001,Kaos Polos Hitam,Pakaian,75000,120,pcs,https://via.placeholder.com/150,Kaos cotton combed 30s hitam,true
PRD002,Kaos Polos Putih,Pakaian,75000,95,pcs,https://via.placeholder.com/150,Kaos cotton combed 30s putih,true
PRD003,Celana Jeans Pria,Pakaian,185000,40,pcs,https://via.placeholder.com/150,Jeans slim fit biru tua,true
PRD004,Sneakers Kasual,Sepatu,325000,30,pasang,https://via.placeholder.com/150,Sneakers nyaman harian,true
PRD005,Topi Baseball,Aksesoris,45000,60,pcs,https://via.placeholder.com/150,Topi katun adjustable,true
PRD006,Tas Ransel,Tas,210000,25,pcs,https://via.placeholder.com/150,Ransel anti air,true
PRD007,Hoodie Polos,Pakaian,165000,50,pcs,https://via.placeholder.com/150,Hoodie fleece tebal,true
PRD008,Sandal Gunung,Sepatu,95000,70,pasang,https://via.placeholder.com/150,Sandal outdoor kuat,true
PRD009,Dompet Kulit,Aksesoris,120000,35,pcs,https://via.placeholder.com/150,Dompet kulit sintetis,true
PRD010,Kacamata Hitam,Aksesoris,85000,80,pcs,https://via.placeholder.com/150,Kacamata UV protection,true
